id,name_key,category,base_price,strategic,tradeable,transport_mult,storage_cost,elast_demand,elast_supply,inputs
1,GOOD_FOOD,Food,10,0,1,1.2,0.5,0.8,1.0,
2,GOOD_TIMBER,RawMaterial,8,0,1,1.5,0.4,1.0,1.2,
3,GOOD_IRON,RawMaterial,14,0,1,1.5,0.3,1.0,1.0,
4,GOOD_COAL,Energy,12,0,1,1.4,0.4,1.0,1.0,
5,GOOD_OIL,Energy,25,1,1,1.2,0.6,0.6,0.8,
6,GOOD_GAS,Energy,22,1,1,1.6,0.7,0.6,0.8,
7,GOOD_STEEL,Strategic,30,1,1,1.3,0.3,0.9,0.9,3:0.7;4:0.5
8,GOOD_CEMENT,RawMaterial,11,0,1,1.7,0.5,1.0,1.0,4:0.4
9,GOOD_TEXTILES,Manufactured,16,0,1,1.1,0.3,1.2,1.1,2:0.3
10,GOOD_ELECTRONICS,Manufactured,45,1,1,1.0,0.2,1.3,0.8,14:0.4
11,GOOD_MACHINERY,Manufactured,38,1,1,1.1,0.2,1.2,0.9,7:0.6
12,GOOD_VEHICLES,Manufactured,40,1,1,1.2,0.2,1.2,0.9,7:0.5;11:0.2
13,GOOD_GOLD,Luxury,60,0,1,1.0,0.1,1.5,0.7,
14,GOOD_RARE_METALS,Strategic,55,1,1,1.1,0.2,1.3,0.6,
15,GOOD_CONSUMER_GOODS,Manufactured,20,0,1,1.1,0.3,1.2,1.0,9:0.3;11:0.2
16,GOOD_ELECTRICITY,Energy,18,1,0,2.0,0.9,0.5,0.7,4:0.2;5:0.1;6:0.1
